,title,genre,author,cover_type,ratings,ranks,price,no_of_reviews,year
0,The Shack: Where Tragedy Confronts Eternity,Fiction,William P. Young,Paperback,4.6,2,6.99,"41,124",2009
1,The Shack: Where Tragedy Confronts Eternity,Fiction,William P. Young,Paperback,4.6,27,6.99,"41,124",2017
6,Liberty and Tyranny: A Conservative Manifesto,Non Fiction,Mark R. Levin,Hardcover,4.8,3,20.31,"5,340",2009
7,"Breaking Dawn (The Twilight Saga, Book 4)",Fiction,Stephenie Meyer,Hardcover,4.7,4,20.49,"25,408",2009
9,Going Rogue: An American Life,Non Fiction,Sarah Palin,Hardcover,4.6,5,6.3,"1,599",2009
10,StrengthsFinder 2.0,Non Fiction,Gallup,Hardcover,4.1,6,19.44,"8,175",2009
11,StrengthsFinder 2.0,Non Fiction,Gallup,Hardcover,4.1,7,19.44,8175,2010
12,StrengthsFinder 2.0,Non Fiction,Gallup,Hardcover,4.1,4,19.44,"8,175",2011
13,StrengthsFinder 2.0,Non Fiction,Gallup,Hardcover,4.1,5,19.44,"8,175",2012
14,StrengthsFinder 2.0,Non Fiction,Gallup,Hardcover,4.1,1,19.44,8176,2013
15,StrengthsFinder 2.0,Non Fiction,Gallup,Hardcover,4.1,1,0.0,1,2014
16,StrengthsFinder 2.0,Non Fiction,Gallup,Hardcover,4.1,5,19.44,"8,176",2015
17,StrengthsFinder 2.0,Non Fiction,Gallup,Hardcover,4.1,2,19.44,16,2016
18,StrengthsFinder 2.0,Non Fiction,Gallup,Hardcover,4.1,25,16.49,"1,324",2017
19,StrengthsFinder 2.0,Non Fiction,Gallup,Hardcover,4.1,78,19.44,16,2018
20,StrengthsFinder 2.0,Non Fiction,Gallup,Hardcover,4.1,72,19.44,"8,176",2019
131,The Help,Fiction,Kathryn Stockett,Hardcover,4.7,7,15.97,"32,977",2009
132,The Help,Fiction,Kathryn Stockett,Hardcover,4.7,4,15.97,"32,978",2010
133,The Help,Fiction,Kathryn Stockett,Paperback,4.7,17,9.89,"32,978",2011
134,The Help,Fiction,Kathryn Stockett,Hardcover,4.7,60,15.97,"32,978",2011
151,New Moon (The Twilight Saga),Fiction,Stephenie Meyer,Paperback,4.6,8,17.0,"20,987",2009
152,The Twilight Saga Collection,Fiction,Stephenie Meyer,Hardcover,4.7,9,58.0,"7,047",2009
153,Outliers: The Story of Success,Non Fiction,Malcolm Gladwell,Hardcover,4.6,10,15.69,"35,936",2009
154,Outliers: The Story of Success,Non Fiction,Malcolm Gladwell,Hardcover,4.6,27,15.69,"35,936",2010
155,Outliers: The Story of Success,Non Fiction,Malcolm Gladwell,Paperback,4.6,60,16.99,"35,936",2012
156,Outliers: The Story of Success,Non Fiction,Malcolm Gladwell,Paperback,4.6,63,16.99,"35,936",2013
173,Eclipse (Twilight),Fiction,Stephenie Meyer,Hardcover,4.7,11,21.61,"20,389",2009
174,"Twilight (The Twilight Saga, Book 1)",Fiction,Stephenie Meyer,Paperback,4.7,12,17.0,"35,134",2009
175,"Glenn Beck's Common Sense: The Case Against an Out-of-Control Government, Inspired by Thomas Paine",Non Fiction,Glenn Beck,Paperback,4.5,13,9.69,"1,428",2009
176,Three Cups of Tea: One Man's Mission to Promote Peace - One School at a Time,Non Fiction,Greg Mortenson,Paperback,4.3,14,13.65,"4,228",2009
178,The Love Dare,Non Fiction,Stephen Kendrick,Paperback,4.8,15,9.0,"3,510",2009
179,"Act Like a Lady, Think Like a Man: What Men Really Think About Love, Relationships, Intimacy, and Commitment",Non Fiction,Steve Harvey,Hardcover,4.5,16,16.18,"8,480",2009
